向第三个中输入斯黛拉 {"command":"input_text","vindex":"三","text":"斯黛拉","mode":0}
第十五个往右 {"command":"swipe","vindex":"十五","direction":"右"}
第三十七个往右 {"command":"swipe","vindex":"三十七","direction":"右"}
把第四十二个向左滑 {"command":"swipe","vindex":"四十二","direction":"左"}
按一下第十二个 {"command":"click","vindex":"十二","mode":0}
添加王媛到第四十六个 {"command":"input_text","vindex":"四十六","text":"王媛","mode":0}
请向第二十四个中输入老有的说 {"command":"input_text","vindex":"二十四","text":"老有的说","mode":0}
查看第三十一个 {"command":"click","vindex":"三十一","mode":0}
添加我查了这南京大学天文系是全国排名第一到第二十五个 {"command":"input_text","vindex":"二十五","text":"我查了这南京大学天文系是全国排名第一","mode":0}
给我查看第五十七个 {"command":"click","vindex":"五十七","mode":0}
看下第五个 {"command":"click","vindex":"五","mode":0}
帮我向第二十九个尾部添加我就不跟你爸妈吃饭了吧 {"command":"input_text","vindex":"二十九","text":"我就不跟你爸妈吃饭了吧","mode":0}
按一下第四十四个 {"command":"click","vindex":"四十四","mode":0}
帮我向第五十四个尾部输入在很久以前有个男生暗恋上了一个女生 {"command":"input_text","vindex":"五十四","text":"在很久以前有个男生暗恋上了一个女生","mode":0}
帮我向第二十九个尾部添加你想好了 {"command":"input_text","vindex":"二十九","text":"你想好了","mode":0}
看下第三十一个 {"command":"click","vindex":"三十一","mode":0}
进入第十四个 {"command":"click","vindex":"十四","mode":0}
帮我输入现在距离和我爸妈见面还有一段时间呢到第三十二个 {"command":"input_text","vindex":"三十二","text":"现在距离和我爸妈见面还有一段时间呢","mode":0}
给我看下第三十七个 {"command":"click","vindex":"三十七","mode":0}
给我按一下第十五个 {"command":"click","vindex":"十五","mode":0}
添加还跟我说这种话到第二十八个 {"command":"input_text","vindex":"二十八","text":"还跟我说这种话","mode":0}
向上滑动第三十五个 {"command":"swipe","vindex":"三十五","direction":"上"}
请输入出门在外总得防备意外伤害到第二十三个 {"command":"input_text","vindex":"二十三","text":"出门在外总得防备意外伤害","mode":0}
向第三十三个中输入来两杯卡布奇诺 {"command":"input_text","vindex":"三十三","text":"来两杯卡布奇诺","mode":0}
帮我把第十四个向下滑 {"command":"swipe","vindex":"十四","direction":"下"}
按一下第四十二个 {"command":"click","vindex":"四十二","mode":0}
给我点击第五十一个 {"command":"click","vindex":"五十一","mode":0}
请向第二十九个尾部输入我有什么好可怜的分手 {"command":"input_text","vindex":"二十九","text":"我有什么好可怜的分手","mode":0}
向第五十一个中输入你到今天还想不清楚这一点 {"command":"input_text","vindex":"五十一","text":"你到今天还想不清楚这一点","mode":0}
第十三个左滑 {"command":"swipe","vindex":"十三","direction":"左"}
给我查看第三十八个 {"command":"click","vindex":"三十八","mode":0}
请查看第二十八个 {"command":"click","vindex":"二十八","mode":0}
给我打开第三十三个 {"command":"click","vindex":"三十三","mode":0}
添加你怎么认识我你谁到第四十六个 {"command":"input_text","vindex":"四十六","text":"你怎么认识我你谁","mode":0}
请打开第四十个 {"command":"click","vindex":"四十","mode":0}
第九个下滑 {"command":"swipe","vindex":"九","direction":"下"}
向第四十九个中输入说明你在改变呀 {"command":"input_text","vindex":"四十九","text":"说明你在改变呀","mode":0}
查看第五十八个 {"command":"click","vindex":"五十八","mode":0}
向第六个中输入然后你们见面了还接吻了 {"command":"input_text","vindex":"六","text":"然后你们见面了还接吻了","mode":0}
给我向第六十个尾部添加如果可以重新选的话 {"command":"input_text","vindex":"六十","text":"如果可以重新选的话","mode":0}
向第四十四个中输入我怎么给你下套呢 {"command":"input_text","vindex":"四十四","text":"我怎么给你下套呢","mode":0}
给我向第二十三个尾部添加他们站在无赖这一边 {"command":"input_text","vindex":"二十三","text":"他们站在无赖这一边","mode":0}
帮我向第二十七个尾部添加好我知道 {"command":"input_text","vindex":"二十七","text":"好我知道","mode":0}
看下第七个 {"command":"click","vindex":"七","mode":0}
给我把第五十七个向右滑 {"command":"swipe","vindex":"五十七","direction":"右"}
向第十三个尾部添加那也算工伤 {"command":"input_text","vindex":"十三","text":"那也算工伤","mode":0}
帮我查看第二十二个 {"command":"click","vindex":"二十二","mode":0}
给我右滑第四十五个 {"command":"swipe","vindex":"四十五","direction":"右"}
向右滑动第四十一个 {"command":"swipe","vindex":"四十一","direction":"右"}
给我添加什么怎么办到第十四个 {"command":"input_text","vindex":"十四","text":"什么怎么办","mode":0}
请向第十三个尾部添加没那么简单 {"command":"input_text","vindex":"十三","text":"没那么简单","mode":0}
帮我向第四十七个中输入做梦 {"command":"input_text","vindex":"四十七","text":"做梦","mode":0}
给我进入第四十八个 {"command":"click","vindex":"四十八","mode":0}
请左滑第五十七个 {"command":"swipe","vindex":"五十七","direction":"左"}
请向第三十七个尾部添加你一定是在感情上受到过较为严重的伤害 {"command":"input_text","vindex":"三十七","text":"你一定是在感情上受到过较为严重的伤害","mode":0}
给我添加总比我们这些打工的容易到第五十二个 {"command":"input_text","vindex":"五十二","text":"总比我们这些打工的容易","mode":0}
请打开第八个 {"command":"click","vindex":"八","mode":0}
帮我向第二十二个中输入改都改不了 {"command":"input_text","vindex":"二十二","text":"改都改不了","mode":0}
向第四十个尾部添加明年可能会好 {"command":"input_text","vindex":"四十","text":"明年可能会好","mode":0}
帮我看下第五十二个 {"command":"click","vindex":"五十二","mode":0}
帮我进入第十个 {"command":"click","vindex":"十","mode":0}
向第二十三个尾部输入你不是不爱吃巧克力吗 {"command":"input_text","vindex":"二十三","text":"你不是不爱吃巧克力吗","mode":0}
请上滑第四十六个 {"command":"swipe","vindex":"四十六","direction":"上"}
向第四个尾部输入最起码得是一个方向 {"command":"input_text","vindex":"四","text":"最起码得是一个方向","mode":0}
请输入这块很有发展前景到第六十个 {"command":"input_text","vindex":"六十","text":"这块很有发展前景","mode":0}
向上滑动第三十六个 {"command":"swipe","vindex":"三十六","direction":"上"}
输入现在还没缓过神来到第七个 {"command":"input_text","vindex":"七","text":"现在还没缓过神来","mode":0}
向下滑动第五十一个 {"command":"swipe","vindex":"五十一","direction":"下"}
点击第五个 {"command":"click","vindex":"五","mode":0}
查看第四十九个 {"command":"click","vindex":"四十九","mode":0}
输入他喜欢你到第二十七个 {"command":"input_text","vindex":"二十七","text":"他喜欢你","mode":0}
第五个上滑 {"command":"swipe","vindex":"五","direction":"上"}
请向第十四个尾部输入又不是我骗爸 {"command":"input_text","vindex":"十四","text":"又不是我骗爸","mode":0}
向第四十五个尾部添加咱能在这遇上也是缘分是吧 {"command":"input_text","vindex":"四十五","text":"咱能在这遇上也是缘分是吧","mode":0}
向第三个尾部输入你想要点什么态度 {"command":"input_text","vindex":"三","text":"你想要点什么态度","mode":0}
帮我向第四十四个尾部添加这是我跟高上的案子您拿回来 {"command":"input_text","vindex":"四十四","text":"这是我跟高上的案子您拿回来","mode":0}
给我添加我怎么放轻松到第五十八个 {"command":"input_text","vindex":"五十八","text":"我怎么放轻松","mode":0}
请向下移动第四十一个 {"command":"swipe","vindex":"四十一","direction":"下"}
帮我向第五十六个尾部添加是你的梦想 {"command":"input_text","vindex":"五十六","text":"是你的梦想","mode":0}
给我向第三十个尾部输入告诉那娘们查着了 {"command":"input_text","vindex":"三十","text":"告诉那娘们查着了","mode":0}
输入那也得等我拿下项目再说到第四十二个 {"command":"input_text","vindex":"四十二","text":"那也得等我拿下项目再说","mode":0}
向第三十六个尾部添加对 {"command":"input_text","vindex":"三十六","text":"对","mode":0}
请输入我看见了到第六个 {"command":"input_text","vindex":"六","text":"我看见了","mode":0}
输入我问你那夏峰怎么还在这住着呢到第五十八个 {"command":"input_text","vindex":"五十八","text":"我问你那夏峰怎么还在这住着呢","mode":0}
给我添加你手怎么了到第五十一个 {"command":"input_text","vindex":"五十一","text":"你手怎么了","mode":0}
添加一路货到第二十八个 {"command":"input_text","vindex":"二十八","text":"一路货","mode":0}
第三十三个上滑 {"command":"swipe","vindex":"三十三","direction":"上"}
请打开第三十四个 {"command":"click","vindex":"三十四","mode":0}
输入甚至连名字都不知道到第四个 {"command":"input_text","vindex":"四","text":"甚至连名字都不知道","mode":0}
请输入一把岁数了还老跟一个小姑娘争风吃醋到第二十一个 {"command":"input_text","vindex":"二十一","text":"一把岁数了还老跟一个小姑娘争风吃醋","mode":0}
向上滑动第八个 {"command":"swipe","vindex":"八","direction":"上"}
向第二十五个尾部添加还是他是你师傅 {"command":"input_text","vindex":"二十五","text":"还是他是你师傅","mode":0}
第四十四个左滑 {"command":"swipe","vindex":"四十四","direction":"左"}
给我向第五十六个尾部添加后来 {"command":"input_text","vindex":"五十六","text":"后来","mode":0}
向右滑动第八个 {"command":"swipe","vindex":"八","direction":"右"}
给我添加吃点早饭吧到第七个 {"command":"input_text","vindex":"七","text":"吃点早饭吧","mode":0}
给我输入我管这个叫电路快速计数器到第三十七个 {"command":"input_text","vindex":"三十七","text":"我管这个叫电路快速计数器","mode":0}
输入你说我能不能再找他谈一谈呢到第一个 {"command":"input_text","vindex":"一","text":"你说我能不能再找他谈一谈呢","mode":0}
查看第十九个 {"command":"click","vindex":"十九","mode":0}
把第二十一个向下滑 {"command":"swipe","vindex":"二十一","direction":"下"}
向上移动第十个 {"command":"swipe","vindex":"十","direction":"上"}
查看第五十九个 {"command":"click","vindex":"五十九","mode":0}
给我向第十三个尾部输入他是怕我们伤心 {"command":"input_text","vindex":"十三","text":"他是怕我们伤心","mode":0}
请添加我发现其实我是典型的缺钙少爱到第十八个 {"command":"input_text","vindex":"十八","text":"我发现其实我是典型的缺钙少爱","mode":0}
输入打到我心里去了到第五十九个 {"command":"input_text","vindex":"五十九","text":"打到我心里去了","mode":0}
添加到底出什么事了到第三十五个 {"command":"input_text","vindex":"三十五","text":"到底出什么事了","mode":0}
帮我向第二十个尾部输入送去抢救了 {"command":"input_text","vindex":"二十","text":"送去抢救了","mode":0}
帮我向第五十四个中输入看看人家陶律师每天是第一个来上班 {"command":"input_text","vindex":"五十四","text":"看看人家陶律师每天是第一个来上班","mode":0}
请把第六十个向上滑 {"command":"swipe","vindex":"六十","direction":"上"}
向第五个尾部输入不就是听听音乐看看书装装样子吗 {"command":"input_text","vindex":"五","text":"不就是听听音乐看看书装装样子吗","mode":0}
添加20楼嘣跳下来多可怕多吓人到第八个 {"command":"input_text","vindex":"八","text":"20楼嘣跳下来多可怕多吓人","mode":0}
请进入第三十五个 {"command":"click","vindex":"三十五","mode":0}
给我向第四十八个尾部添加阿西你这常年睡不醒的眼睛还是算了 {"command":"input_text","vindex":"四十八","text":"阿西你这常年睡不醒的眼睛还是算了","mode":0}
向第三十三个尾部添加好好说话行吗 {"command":"input_text","vindex":"三十三","text":"好好说话行吗","mode":0}
请向第二十七个中输入对 {"command":"input_text","vindex":"二十七","text":"对","mode":0}
向第六十个尾部输入因为我要报答父母对我的爱 {"command":"input_text","vindex":"六十","text":"因为我要报答父母对我的爱","mode":0}
向第三十五个中输入不会这么麻烦 {"command":"input_text","vindex":"三十五","text":"不会这么麻烦","mode":0}
给我向第二十二个尾部输入毕竟感情上 {"command":"input_text","vindex":"二十二","text":"毕竟感情上","mode":0}
看下第四个 {"command":"click","vindex":"四","mode":0}
给我把第五十个向上滑 {"command":"swipe","vindex":"五十","direction":"上"}
帮我向第二十二个尾部添加我就跑了个步再做个听力 {"command":"input_text","vindex":"二十二","text":"我就跑了个步再做个听力","mode":0}
输入随便写写能写出这么多字到第四个 {"command":"input_text","vindex":"四","text":"随便写写能写出这么多字","mode":0}
给我下滑第三十五个 {"command":"swipe","vindex":"三十五","direction":"下"}
给我打开第五十六个 {"command":"click","vindex":"五十六","mode":0}
输入她很清楚这一点到第四十七个 {"command":"input_text","vindex":"四十七","text":"她很清楚这一点","mode":0}
给我第十六个往上 {"command":"swipe","vindex":"十六","direction":"上"}
帮我第三十一个往下 {"command":"swipe","vindex":"三十一","direction":"下"}
向第五十八个尾部添加休息 {"command":"input_text","vindex":"五十八","text":"休息","mode":0}
给我添加都是她在为我撑腰到第二十二个 {"command":"input_text","vindex":"二十二","text":"都是她在为我撑腰","mode":0}
向第四十五个尾部添加老是睡不好 {"command":"input_text","vindex":"四十五","text":"老是睡不好","mode":0}
添加你后悔了到第五十三个 {"command":"input_text","vindex":"五十三","text":"你后悔了","mode":0}
添加但不出格到第二十三个 {"command":"input_text","vindex":"二十三","text":"但不出格","mode":0}
添加嫌弃到第四十七个 {"command":"input_text","vindex":"四十七","text":"嫌弃","mode":0}
向第二十四个尾部添加因为我拿了newface的钱 {"command":"input_text","vindex":"二十四","text":"因为我拿了newface的钱","mode":0}
向第二十九个尾部输入行行行 {"command":"input_text","vindex":"二十九","text":"行行行","mode":0}
下滑第十一个 {"command":"swipe","vindex":"十一","direction":"下"}
向第四十一个尾部输入喝汤行了吧 {"command":"input_text","vindex":"四十一","text":"喝汤行了吧","mode":0}
给我向第四十八个尾部添加他怎么躺下啦 {"command":"input_text","vindex":"四十八","text":"他怎么躺下啦","mode":0}
给我查看第五十四个 {"command":"click","vindex":"五十四","mode":0}
请向第四十九个中输入那我就直说了 {"command":"input_text","vindex":"四十九","text":"那我就直说了","mode":0}
帮我输入今天赔都赔死到第十七个 {"command":"input_text","vindex":"十七","text":"今天赔都赔死","mode":0}
右滑第十八个 {"command":"swipe","vindex":"十八","direction":"右"}
添加这工作应付不来到第四十八个 {"command":"input_text","vindex":"四十八","text":"这工作应付不来","mode":0}
向上滑动第三个 {"command":"swipe","vindex":"三","direction":"上"}
给我第三十四个往上 {"command":"swipe","vindex":"三十四","direction":"上"}
向第五十个尾部输入你到底是看上dl了还是看上江达琳了 {"command":"input_text","vindex":"五十","text":"你到底是看上dl了还是看上江达琳了","mode":0}
请向第十七个尾部添加那是进多少了 {"command":"input_text","vindex":"十七","text":"那是进多少了","mode":0}
向第六十个尾部添加可高三的时间丢了 {"command":"input_text","vindex":"六十","text":"可高三的时间丢了","mode":0}
第二十三个点击 {"command":"click","vindex":"二十三","mode":0}
请查看第三十个 {"command":"click","vindex":"三十","mode":0}
打开第三十七个 {"command":"click","vindex":"三十七","mode":0}
给我把第二个向左滑 {"command":"swipe","vindex":"二","direction":"左"}
给我点击第二十八个 {"command":"click","vindex":"二十八","mode":0}
按一下第五十七个 {"command":"click","vindex":"五十七","mode":0}
添加你能把我怎么样到第二十三个 {"command":"input_text","vindex":"二十三","text":"你能把我怎么样","mode":0}
帮我输入那是两回事儿到第十六个 {"command":"input_text","vindex":"十六","text":"那是两回事儿","mode":0}
第五十四个点击 {"command":"click","vindex":"五十四","mode":0}
看下第二个 {"command":"click","vindex":"二","mode":0}
给我输入嗯打住啊到第二十六个 {"command":"input_text","vindex":"二十六","text":"嗯打住啊","mode":0}
给我点击第四十三个 {"command":"click","vindex":"四十三","mode":0}
向第二十九个尾部输入你中午跟我回家拿去 {"command":"input_text","vindex":"二十九","text":"你中午跟我回家拿去","mode":0}
给我向第五十八个中输入因为我不需要 {"command":"input_text","vindex":"五十八","text":"因为我不需要","mode":0}
帮我向第七个尾部添加一点也不 {"command":"input_text","vindex":"七","text":"一点也不","mode":0}
向第四十六个中输入我知道瞒不住 {"command":"input_text","vindex":"四十六","text":"我知道瞒不住","mode":0}
帮我看下第二十四个 {"command":"click","vindex":"二十四","mode":0}
给我第四十二个点击 {"command":"click","vindex":"四十二","mode":0}
向左移动第二十九个 {"command":"swipe","vindex":"二十九","direction":"左"}
帮我查看第三十二个 {"command":"click","vindex":"三十二","mode":0}
向下移动第五十七个 {"command":"swipe","vindex":"五十七","direction":"下"}
向第五十八个尾部输入我都会视作是蓄意破坏我的家庭 {"command":"input_text","vindex":"五十八","text":"我都会视作是蓄意破坏我的家庭","mode":0}
把第五十三个向上滑 {"command":"swipe","vindex":"五十三","direction":"上"}
添加写过啊到第十二个 {"command":"input_text","vindex":"十二","text":"写过啊","mode":0}
向第四十四个尾部添加呵呵好 {"command":"input_text","vindex":"四十四","text":"呵呵好","mode":0}
向第四十七个中输入好 {"command":"input_text","vindex":"四十七","text":"好","mode":0}
给我按一下第二十一个 {"command":"click","vindex":"二十一","mode":0}
给我向右滑动第五十九个 {"command":"swipe","vindex":"五十九","direction":"右"}
请添加我的意思是说咱也不能等一会一回来到第十七个 {"command":"input_text","vindex":"十七","text":"我的意思是说咱也不能等一会一回来","mode":0}
帮我向左滑动第五个 {"command":"swipe","vindex":"五","direction":"左"}
帮我打开第七个 {"command":"click","vindex":"七","mode":0}
请第三十一个点击 {"command":"click","vindex":"三十一","mode":0}
给我向第十四个尾部添加广告 {"command":"input_text","vindex":"十四","text":"广告","mode":0}
向第四个中输入再说了哥们车贷还没还完 {"command":"input_text","vindex":"四","text":"再说了哥们车贷还没还完","mode":0}
请打开第四十四个 {"command":"click","vindex":"四十四","mode":0}
帮我向下滑动第四十五个 {"command":"swipe","vindex":"四十五","direction":"下"}
向第三个尾部输入喜糖 {"command":"input_text","vindex":"三","text":"喜糖","mode":0}
输入你让我扮小丑我都愿意到第四十五个 {"command":"input_text","vindex":"四十五","text":"你让我扮小丑我都愿意","mode":0}
帮我查看第二十二个 {"command":"click","vindex":"二十二","mode":0}
向第十个中输入今天周末去学校干什么 {"command":"input_text","vindex":"十","text":"今天周末去学校干什么","mode":0}
向右移动第四十七个 {"command":"swipe","vindex":"四十七","direction":"右"}
请添加但是这一条到第二十一个 {"command":"input_text","vindex":"二十一","text":"但是这一条","mode":0}
第三十三个往下 {"command":"swipe","vindex":"三十三","direction":"下"}
打开第五十五个 {"command":"click","vindex":"五十五","mode":0}
添加可能是我涵养还不够吧到第二十个 {"command":"input_text","vindex":"二十","text":"可能是我涵养还不够吧","mode":0}
看下第三十个 {"command":"click","vindex":"三十","mode":0}
请打开第十八个 {"command":"click","vindex":"十八","mode":0}
第三十四个上滑 {"command":"swipe","vindex":"三十四","direction":"上"}
向第五十八个尾部输入苏明成不是说苏家的事以后不需要我管了吗 {"command":"input_text","vindex":"五十八","text":"苏明成不是说苏家的事以后不需要我管了吗","mode":0}
向右滑动第三十个 {"command":"swipe","vindex":"三十","direction":"右"}
按一下第三十个 {"command":"click","vindex":"三十","mode":0}
向第四十一个中输入辛辛苦苦忙的事业 {"command":"input_text","vindex":"四十一","text":"辛辛苦苦忙的事业","mode":0}
给我向第四十一个中输入都有 {"command":"input_text","vindex":"四十一","text":"都有","mode":0}
给我看下第二十三个 {"command":"click","vindex":"二十三","mode":0}
向第一个尾部添加这里面可是设计师茶具 {"command":"input_text","vindex":"一","text":"这里面可是设计师茶具","mode":0}
查看第四十五个 {"command":"click","vindex":"四十五","mode":0}
给我下滑第二个 {"command":"swipe","vindex":"二","direction":"下"}
第九个往左 {"command":"swipe","vindex":"九","direction":"左"}
给我向第五十九个尾部添加知我者蓝馨也 {"command":"input_text","vindex":"五十九","text":"知我者蓝馨也","mode":0}
看下第五十一个 {"command":"click","vindex":"五十一","mode":0}
帮我添加那厕所很远到第十五个 {"command":"input_text","vindex":"十五","text":"那厕所很远","mode":0}
帮我添加想让你们多睡一会嘛我不这都是为了你们到第三十七个 {"command":"input_text","vindex":"三十七","text":"想让你们多睡一会嘛我不这都是为了你们","mode":0}
输入都是小毛病到第四十六个 {"command":"input_text","vindex":"四十六","text":"都是小毛病","mode":0}
给我看下第九个 {"command":"click","vindex":"九","mode":0}
给我添加那就是一游戏机跟真车比还差得远到第二十二个 {"command":"input_text","vindex":"二十二","text":"那就是一游戏机跟真车比还差得远","mode":0}
向第八个尾部输入我记得 {"command":"input_text","vindex":"八","text":"我记得","mode":0}
输入我这衣服好看吗到第三十五个 {"command":"input_text","vindex":"三十五","text":"我这衣服好看吗","mode":0}
向第四十二个尾部添加他为什么不来找你 {"command":"input_text","vindex":"四十二","text":"他为什么不来找你","mode":0}
帮我向第五十七个尾部输入就把工作给辞了 {"command":"input_text","vindex":"五十七","text":"就把工作给辞了","mode":0}
帮我添加你是为了保护邓小琪吧你是不是怕我把他供出到第四十三个 {"command":"input_text","vindex":"四十三","text":"你是为了保护邓小琪吧你是不是怕我把他供出","mode":0}
请查看第三十二个 {"command":"click","vindex":"三十二","mode":0}
帮我按一下第五十二个 {"command":"click","vindex":"五十二","mode":0}
添加我带你去个地方到第十八个 {"command":"input_text","vindex":"十八","text":"我带你去个地方","mode":0}
给我向第十四个尾部添加我还以为你找个什么好东西 {"command":"input_text","vindex":"十四","text":"我还以为你找个什么好东西","mode":0}
请向第十三个尾部添加所以我就变成了正义的化身 {"command":"input_text","vindex":"十三","text":"所以我就变成了正义的化身","mode":0}
请查看第十八个 {"command":"click","vindex":"十八","mode":0}
帮我向右滑动第四十一个 {"command":"swipe","vindex":"四十一","direction":"右"}
给我第五个往右 {"command":"swipe","vindex":"五","direction":"右"}
第九个右滑 {"command":"swipe","vindex":"九","direction":"右"}
第二十八个往上 {"command":"swipe","vindex":"二十八","direction":"上"}
帮我左滑第三十一个 {"command":"swipe","vindex":"三十一","direction":"左"}
向第三十四个尾部添加价值观的问题 {"command":"input_text","vindex":"三十四","text":"价值观的问题","mode":0}
给我向第四十二个尾部输入你说的对 {"command":"input_text","vindex":"四十二","text":"你说的对","mode":0}
给我向第四十三个尾部添加我要成功成功 {"command":"input_text","vindex":"四十三","text":"我要成功成功","mode":0}
给我向第一个尾部输入平时都是你们两个人 {"command":"input_text","vindex":"一","text":"平时都是你们两个人","mode":0}
向第三十七个尾部输入你听我说他跟我说他爸爸我真的太喜欢唱歌跳 {"command":"input_text","vindex":"三十七","text":"你听我说他跟我说他爸爸我真的太喜欢唱歌跳","mode":0}
输入田璐说她能搞定耿跃的到第二十七个 {"command":"input_text","vindex":"二十七","text":"田璐说她能搞定耿跃的","mode":0}
看下第三十三个 {"command":"click","vindex":"三十三","mode":0}
点击第八个 {"command":"click","vindex":"八","mode":0}
输入谁啊到第十一个 {"command":"input_text","vindex":"十一","text":"谁啊","mode":0}
请向第四十三个中输入你等着爸给你买去 {"command":"input_text","vindex":"四十三","text":"你等着爸给你买去","mode":0}
请把第二十一个向左滑 {"command":"swipe","vindex":"二十一","direction":"左"}
把第十二个向下滑 {"command":"swipe","vindex":"十二","direction":"下"}
给我添加什么方法到第三十六个 {"command":"input_text","vindex":"三十六","text":"什么方法","mode":0}
请点击第十九个 {"command":"click","vindex":"十九","mode":0}
帮我向上滑动第四十四个 {"command":"swipe","vindex":"四十四","direction":"上"}
帮我向第二个中输入我一旦这么想了 {"command":"input_text","vindex":"二","text":"我一旦这么想了","mode":0}
给我查看第二十七个 {"command":"click","vindex":"二十七","mode":0}
请输入您是上帝对吧到第二十九个 {"command":"input_text","vindex":"二十九","text":"您是上帝对吧","mode":0}
向第三十个尾部添加哦这个您不用操心 {"command":"input_text","vindex":"三十","text":"哦这个您不用操心","mode":0}
帮我向第四个中输入我在看耿跃跟何君的八卦 {"command":"input_text","vindex":"四","text":"我在看耿跃跟何君的八卦","mode":0}
向第七个尾部输入哥 {"command":"input_text","vindex":"七","text":"哥","mode":0}
请向第四十三个尾部添加知道吗 {"command":"input_text","vindex":"四十三","text":"知道吗","mode":0}
点击第四十五个 {"command":"click","vindex":"四十五","mode":0}
向第二十二个尾部输入你们两个人要是够努力 {"command":"input_text","vindex":"二十二","text":"你们两个人要是够努力","mode":0}
给我下滑第四十六个 {"command":"swipe","vindex":"四十六","direction":"下"}
向上滑动第二十七个 {"command":"swipe","vindex":"二十七","direction":"上"}
向第三十五个尾部添加我daddy很注重这方面 {"command":"input_text","vindex":"三十五","text":"我daddy很注重这方面","mode":0}
添加我妈在的时候我爸就经常偷钱出来买彩票到第四十五个 {"command":"input_text","vindex":"四十五","text":"我妈在的时候我爸就经常偷钱出来买彩票","mode":0}
向下移动第四十七个 {"command":"swipe","vindex":"四十七","direction":"下"}
打开第三十八个 {"command":"click","vindex":"三十八","mode":0}
向第二十六个尾部输入你有一双眼睛专门躲在背后看人 {"command":"input_text","vindex":"二十六","text":"你有一双眼睛专门躲在背后看人","mode":0}
帮我向下移动第二个 {"command":"swipe","vindex":"二","direction":"下"}
把第五十二个向上滑 {"command":"swipe","vindex":"五十二","direction":"上"}
添加今天晚上他们都回来到第五个 {"command":"input_text","vindex":"五","text":"今天晚上他们都回来","mode":0}
给我添加这桌子都得提前预约的到第三十五个 {"command":"input_text","vindex":"三十五","text":"这桌子都得提前预约的","mode":0}
帮我下滑第三十七个 {"command":"swipe","vindex":"三十七","direction":"下"}
请右滑第十三个 {"command":"swipe","vindex":"十三","direction":"右"}
请进入第五十二个 {"command":"click","vindex":"五十二","mode":0}
查看第五十四个 {"command":"click","vindex":"五十四","mode":0}
给我向第三个尾部添加这么晚了丽丽还回不回来了 {"command":"input_text","vindex":"三","text":"这么晚了丽丽还回不回来了","mode":0}
向第二十八个尾部输入好 {"command":"input_text","vindex":"二十八","text":"好","mode":0}
帮我把第十六个向右滑 {"command":"swipe","vindex":"十六","direction":"右"}
向第九个中输入就该考一次结一次当月账当月清 {"command":"input_text","vindex":"九","text":"就该考一次结一次当月账当月清","mode":0}
第三十个上滑 {"command":"swipe","vindex":"三十","direction":"上"}
添加却喜欢跟踪别人对吧到第五十二个 {"command":"input_text","vindex":"五十二","text":"却喜欢跟踪别人对吧","mode":0}
添加你谁呀你你先说我听听到第六个 {"command":"input_text","vindex":"六","text":"你谁呀你你先说我听听","mode":0}
请第十八个点击 {"command":"click","vindex":"十八","mode":0}
帮我查看第四十个 {"command":"click","vindex":"四十","mode":0}
向右移动第三十二个 {"command":"swipe","vindex":"三十二","direction":"右"}
给我添加年销售在一个亿以上到第五十二个 {"command":"input_text","vindex":"五十二","text":"年销售在一个亿以上","mode":0}
向第十九个尾部输入要是没有樊姐 {"command":"input_text","vindex":"十九","text":"要是没有樊姐","mode":0}
帮我按一下第十三个 {"command":"click","vindex":"十三","mode":0}
查看第三十九个 {"command":"click","vindex":"三十九","mode":0}
第十二个左滑 {"command":"swipe","vindex":"十二","direction":"左"}
向左移动第二十四个 {"command":"swipe","vindex":"二十四","direction":"左"}
把第四十一个向左滑 {"command":"swipe","vindex":"四十一","direction":"左"}
请输入我这次回去赶紧改改我上班的行头到第一个 {"command":"input_text","vindex":"一","text":"我这次回去赶紧改改我上班的行头","mode":0}
向第二十个尾部输入电话都不接了 {"command":"input_text","vindex":"二十","text":"电话都不接了","mode":0}
添加换我别的同事来接待您到第五个 {"command":"input_text","vindex":"五","text":"换我别的同事来接待您","mode":0}
帮我添加不像你说的那样到第六十个 {"command":"input_text","vindex":"六十","text":"不像你说的那样","mode":0}
帮我第二十五个左滑 {"command":"swipe","vindex":"二十五","direction":"左"}
进入第七个 {"command":"click","vindex":"七","mode":0}
帮我向第五十七个尾部添加妈这不是当季特别款吗 {"command":"input_text","vindex":"五十七","text":"妈这不是当季特别款吗","mode":0}
给我向第五十七个中输入两个月以前的了 {"command":"input_text","vindex":"五十七","text":"两个月以前的了","mode":0}
帮我添加还有什么事吗到第五十个 {"command":"input_text","vindex":"五十","text":"还有什么事吗","mode":0}
请查看第三十个 {"command":"click","vindex":"三十","mode":0}
帮我向第五十个中输入我给你准备好了 {"command":"input_text","vindex":"五十","text":"我给你准备好了","mode":0}
帮我打开第三十二个 {"command":"click","vindex":"三十二","mode":0}
帮我输入不是说有风险吗到第三十七个 {"command":"input_text","vindex":"三十七","text":"不是说有风险吗","mode":0}
查看第十八个 {"command":"click","vindex":"十八","mode":0}
给我向第二十九个尾部添加口罩 {"command":"input_text","vindex":"二十九","text":"口罩","mode":0}
向第三十个中输入我就是喜欢吃东西 {"command":"input_text","vindex":"三十","text":"我就是喜欢吃东西","mode":0}
给我第三个左滑 {"command":"swipe","vindex":"三","direction":"左"}
添加那你说的跟财政大权有什么关系到第十个 {"command":"input_text","vindex":"十","text":"那你说的跟财政大权有什么关系","mode":0}
请输入家里没吃的到第七个 {"command":"input_text","vindex":"七","text":"家里没吃的","mode":0}
